,Lat_Lon,Lat,Lon,Artifbright,Radiance,AvgLux,Visit,People_Initials,Date,Moon,DailyMaxTemp_F,DailyMaxTemp_C,Day_Temp_30min,MeanTemp_10to4,Day_Weather,HOBO_ID,Stick_No,Trap,Day_Start_Time,Trap_Pickup_Time,Day_Total_Skeet,Day_Total_albo,Day_Ae_tris,Day_Ae_vex,Day_Ae_jap,Day_Cq_pert,Day_Cx_sp,Day_An_quad,Day_An_punct,Day_An_sp,SBCC,Notes_Field,Night_Total_Skeet,Night_Total_albo,Night_Ae_albo_F,Night_Ae_albo_M,Night_Ae_cana_F,Night_Ae_cana_M,Night_Ae_hender_F,Night_Ae_hender_M,Night_Ae_japo_F,Night_Ae_japo_M,Night_Ae_tris_F,Night_Ae_tris_M,Night_Ae_trivit_F,Night_Ae_trivit_M,Night_Ae_vex_F,Night_Ae_vex_M,Night_Cq_pert_F,Night_Cq_pert_M,Night_Cx_sp_F,Night_Cx_sp_M,Night_An_quad_F,Night_An_quad_M,Night_An_punct_F,Night_An_punct_M,Night_Ps_howar_F,Night_Ps_howar_M,Unknown
77,"38.60357, -90.26492",38.60357,-90.26492,7650,53.8,0,2,LJ_KW,8/14/2023,0.03,84,28.9,25.5,21.21,sunny_windy,NA,10,A,62520,31320,19,19,0,0,0,0,0,0,0,0,Y,NA,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
78,"38.5972, -90.27284",38.5972,-90.27284,7710,75.6,0.02,2,LJ_KW,8/14/2023,0.03,84,28.9,24,20.48,sunny_windy,NA,8,C,65520,32100,14,12,0,0,0,0,0,0,0,0,Y,"2 stripy legs and dark gray, couldn't ID further",18,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0
79,"38.59572, -90.2895",38.59572,-90.2895,6920,63.5,1.36,2,LJ_KW,8/14/2023,0.03,84,28.9,23,20.67,sunny,NA,9,D,66960,32580,25,25,0,0,0,0,0,0,0,0,Y,NA,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"38.60209, -90.25852",38.60209,-90.25852,7650,42.4,0.04,2,LJ_KW,8/14/2023,0.03,84,28.9,24.5,21.23,sunny,NA,7,B,63900,30780,54,53,0,0,0,0,1,0,0,0,Y,NA,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"38.61249, -90.25454",38.61249,-90.25454,7940,38.2,0.92,2,LJ_LT,8/15/2023,0.01,78,25.6,24,19.38,overcast,NA,8,A,62520,32400,9,9,0,0,0,0,0,0,0,0,Y,"cold in morning, no activity when picking up trap",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
82,"38.63979, -90.25516",38.63979,-90.25516,10500,150.6,1.2,2,LJ_LT,8/15/2023,0.01,78,25.6,25.5,19.58,overcast,NA,10,D,66780,30960,10,10,0,0,0,0,0,0,0,0,Y,"mosquitoes flying about potato plants, not interseted in hostseeking; cold in morning, no activity when picking up trap",3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
83,"38.61469, -90.24233",38.61469,-90.24233,9240,67.2,0.06,2,LJ_LT,8/15/2023,0.01,78,25.6,23,18.96,overcast,NA,7,B,63660,32940,42,42,0,0,0,0,0,0,0,0,Y,"lost some while hostseeking trapping about 5; so many!; cold in morning, no activity when picking up trap",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
84,"38.63945, -90.25653",38.63945,-90.25653,10500,150.6,0.02,2,LJ_LT,8/15/2023,0.01,78,25.6,22.5,19.63,overcast,NA,9,C,65340,31380,95,95,0,0,0,0,0,0,0,0,Y,"so many!; saw non albos hostseeking but didn’t catch any; cold in morning, no activity when picking up trap",5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
85,"38.6018, -90.25168",38.6018,-90.25168,7810,32,0.06,2,LJ_TR,8/16/2023,0,84,28.9,25,21.26,sunny,NA,7,B,63240,29160,49,49,0,0,0,0,0,0,0,0,Y,"so many!; cold in morning, no activity when picking up trap",20,20,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"38.60329, -90.26452",38.60329,-90.26452,7650,53.8,0.26,2,LJ_TR,8/16/2023,0,84,28.9,41.5,21.22,sunny,NA,8,A,61800,28560,41,41,0,0,0,0,0,0,0,0,Y,"so many!; cold in morning, no activity when picking up trap",4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
87,"38.57172, -90.2428",38.57172,-90.2428,6220,39.4,0.5,1,LJ_TR,8/16/2023,0,84,28.9,25.5,18.74,sunny,NA,9,D,66540,NA,25,25,0,0,0,0,0,0,0,0,Y,NA,6,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
88,"38.7532, -90.81357",38.7532,-90.81357,1130,11.8,0,2,EU,8/17/2023,0.01,87,30.6,19.5,14.19,sunny,NA,8,D,72840,30600,4,3,1,0,0,0,0,0,0,0,Y,Not many,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,"38.43289, -90.44601",38.43289,-90.44601,1190,2.4,0.02,2,LJ_EU,8/17/2023,0.01,87,30.6,25,18.73,sunny,NA,9,B,63240,36360,36,36,0,0,0,0,0,0,0,0,Y,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,"38.37769, -90.41465",38.37769,-90.41465,1020,3.1,0,2,LJ_EU,8/17/2023,0.01,87,30.6,24,15.33,sunny,NA,10,C,65520,37680,0,0,0,0,0,0,0,0,0,0,N,almost no other bugs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,"38.5387, -90.53078",38.5387,-90.53078,1700,1.7,0,2,LJ_EU,8/17/2023,0.01,87,30.6,39.5,15.46,sunny,NA,7,A,59940,34380,2,1,0,0,0,1,0,0,0,0,N,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
92,"38.52647, -90.56039",38.52647,-90.56039,1120,1.3,0,2,LJ,8/18/2023,0.04,84,28.9,24.5,21,sunny,NA,10,A,67800,28020,2,2,0,0,0,0,0,0,0,0,N,So many so fast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,"38.65192, -90.3011",38.65192,-90.3011,7370,84,0.02,2,LJ_KW,8/21/2023,0.22,95,35,30.5,27.67,cloudy,NA,9,C,63300,26400,3,3,0,0,0,0,0,0,0,0,Y,NA,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"38.63951, -90.30644",38.63951,-90.30644,7200,46.5,0.38,2,LJ_KW,8/21/2023,0.22,95,35,32.5,26.67,partial_cloud,NA,3,D,64560,27000,6,6,0,0,0,0,0,0,0,0,Y,NA,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
95,"38.6509, -90.30732",38.6509,-90.30732,7370,82.3,0,2,LJ_KW,8/21/2023,0.22,95,35,33.5,27.67,partial_cloud,NA,10,A,60780,25200,6,6,0,0,0,0,0,0,0,0,N,NA,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,"38.65211, -90.30701",38.65211,-90.30701,7370,82.3,0,2,LJ_KW,8/21/2023,0.22,95,35,35,28.06,cloudy,NA,8,B,61860,25800,43,42,0,1,0,0,0,0,0,0,Y,So many,31,30,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,"38.65978, -90.33032",38.65978,-90.33032,5870,23.8,0,2,LJ_TR,8/22/2023,0.31,100,37.8,30.5,26.88,cloudy,NA,3,C,64800,27000,31,31,0,0,0,0,0,0,0,0,Y,NA,44,40,35,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
98,"38.66039, -90.33202",38.66039,-90.33202,5870,23.8,0,2,LJ_TR,8/22/2023,0.31,100,37.8,33,29.17,cloudy,NA,10,D,66120,27300,9,9,0,0,0,0,0,0,0,0,Y,"Not sure if temp related (31C), but way less active",25,23,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
99,"38.65652, -90.32025",38.65652,-90.32025,6180,26,0,2,LJ_TR,8/22/2023,0.31,100,37.8,33,27.52,cloudy,NA,8,A,61800,25740,38,37,0,1,0,0,0,0,0,0,Y,So many; at least 15 active,45,39,24,15,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0
100,"38.65916, -90.31697",38.65916,-90.31697,6180,27.7,0,2,LJ_TR,8/22/2023,0.31,100,37.8,32.5,26.46,cloudy,NA,9,B,63540,26400,5,4,0,1,0,0,0,0,0,0,Y,Lots seen but didn't catch,32,29,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
101,"38.58447, -90.39409",38.58447,-90.39409,3720,18.2,0,2,LJ_EU,8/23/2023,0.41,99,37.2,35,26.69,cloudy,NA,8,B,62940,28800,13,13,0,0,0,0,0,0,0,0,Y,"Could see swarms in sunlight last trip, essentially nothing this time",20,20,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,"38.62262, -90.46147",38.62262,-90.46147,3030,17,0,2,LJ_EU,8/23/2023,0.41,99,37.2,30,26.6,cloudy,NA,10,D,66600,27000,21,21,0,0,0,0,0,0,0,0,Y,NA,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
103,"38.55025, -90.39806",38.55025,-90.39806,3560,38.7,0,2,LJ_EU,8/23/2023,0.41,99,37.2,32,26.96,cloudy,NA,3,A,61020,29940,19,18,1,0,0,0,0,0,0,0,Y,NA,14,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"38.57916, -90.42449",38.57916,-90.42449,3560,17.1,0.04,2,LJ_EU,8/23/2023,0.41,99,37.2,32.5,25.85,cloudy,NA,9,C,64680,28080,10,10,0,0,0,0,0,0,0,0,N,NA,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"38.61113, -90.27887",38.61113,-90.27887,7570,56.1,2.8,2,LJ_KW,8/24/2023,0.51,101,38.3,34.5,27.92,sunny_hot_slightwind,NA,3,C,64740,31200,17,17,0,0,0,0,0,0,0,0,Y,NA,19,14,11,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0
106,"38.64851, -90.28146",38.64851,-90.28146,8450,93.9,0.16,2,LJ_KW,8/24/2023,0.51,101,38.3,38.5,30.15,sunny_hot,NA,9,A,61140,27900,0,0,0,0,0,0,0,0,0,0,N,NA,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
107,"38.65282, -90.31912",38.65282,-90.31912,6500,36.1,0.04,2,LJ_KW,8/24/2023,0.51,101,38.3,35.5,28.9,sunny_hot,NA,8,B,62760,29100,11,11,0,0,0,0,0,0,0,0,Y,NA,24,24,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"38.64174, -90.25992",38.64174,-90.25992,10300,151.1,1.14,2,LJ_KW,8/24/2023,0.51,101,38.3,31,28.02,sunny_hot,NA,10,D,66540,30300,4,3,0,1,0,0,0,0,0,0,Y,2 flying around trap,16,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,8
109,"38.66461, -90.54289",38.66461,-90.54289,2690,29.7,0.08,2,LJ_EU,8/28/2023,0.9,83,28.3,29,22.8,sunny,NA,8,A,63480,26760,18,18,0,0,0,0,0,1,0,0,Y,NA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0
110,"38.56617, -90.52694",38.56617,-90.52694,2370,18.4,0,2,LJ_EU,8/28/2023,0.9,83,28.3,27.5,21.27,sunny,NA,10,B,65700,28260,33,33,0,0,0,0,0,0,0,0,Y,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
111,"38.61176, -90.31839",38.61176,-90.31839,6480,48.7,0.04,2,LJ_TR,8/29/2023,0.96,87,30.6,28.5,21.46,sunny,NA,8,A,61440,25500,22,22,0,0,0,0,0,0,0,0,Y,NA,16,11,9,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0
112,"38.60555, -90.3557",38.60555,-90.3557,4910,33.6,0.08,2,LJ_TR,8/29/2023,0.96,87,30.6,29,21.98,sunny,NA,10,B,63240,26100,116,113,3,0,0,0,0,0,0,0,Y,NA,17,14,13,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
113,"38.57976, -90.3864",38.57976,-90.3864,3670,18.3,0.4,2,LJ_TR,8/29/2023,0.96,87,30.6,27.5,22.58,sunny,NA,9,C,65280,27120,36,36,0,0,0,0,0,0,0,0,Y,NA,10,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,"38.65386, -90.19804",38.65386,-90.19804,9980,58.3,0.96,2,LJ_TR,8/30/2023,0.99,82,27.8,21,17.69,sunny,NA,9,C,67980,25800,69,68,0,1,0,0,0,0,0,0,Y,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"38.59508, -90.25113",38.59508,-90.25113,7800,73.8,0.24,2,LJ_TR,8/30/2023,0.99,82,27.8,24.5,17.85,sunny,NA,10,A,61800,27000,21,19,0,2,0,0,0,0,0,0,Y,NA,13,4,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0
116,"38.57172, -90.2428",38.57172,-90.2428,6220,39.4,0.5,2,LJ_TR,8/30/2023,0.99,82,27.8,25,15.73,sunny,NA,8,B,63540,NA,4,4,0,0,0,0,0,0,0,0,Y,NA,6,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0
