OBJECTID *,Shape *,Lat_Lon,Lat_Lon_X,Lat_Lon_Y,Lat,Lon,Artifbright,Radiance,AvgLux,Visit,People_Initials,Date,Moon,DailyMaxTemp_F,DailyMaxTemp_C,Day_Temp_30min,MeanTemp_10to4,Day_Weather,HOBO_ID,Stick_No,Trap,Day_Start_Time,Trap_Pickup_Time,Day_Total_Skeet,Day_Total_albo,Day_Ae_tris,Day_Ae_vex,Day_Ae_jap,Day_Cq_pert,Day_Cx_sp,Day_An_quad,Day_An_punct,Day_An_sp,SBCC,Notes_Field,Night_Total_Skeet,Night_Total_albo,Night_Ae_albo_F,Night_Ae_albo_M,Night_Ae_cana_F,Night_Ae_cana_M,Night_Ae_hender_F,Night_Ae_hender_M,Night_Ae_japo_F,Night_Ae_japo_M,Night_Ae_tris_F,Night_Ae_tris_M,Night_Ae_trivit_F,Night_Ae_trivit_M,Night_Ae_vex_F,Night_Ae_vex_M,Night_Cq_pert_F,Night_Cq_pert_M,Night_Cx_sp_F,Night_Cx_sp_M,Night_An_quad_F,Night_An_quad_M,Night_An_punct_F,Night_An_punct_M,Night_Ps_howar_F,Night_Ps_howar_M,Unknown,nlcd_2021_impervious_descriptor_l48_20230630,nlcd_2021_impervious_l48_20230630,nlcd_2021_land_cover_l48_20230630
67,Point,"38.64683, -90.26342",-90.26342,38.64683,38.64683,-90.26342,9060,91.7,0,2,LJ_TR,8/8/2023,0.49,88,31.1,31.5,23.9,sunny,NA,8,B,17:25,7:06,2,2,0,0,0,0,0,0,0,0,Y,<Null>,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,60,23
68,Point,"38.64649, -90.26176",-90.26176,38.64649,38.64649,-90.26176,9060,90.6,0,2,LJ_TR,8/8/2023,0.49,88,31.1,28,22.6,sunny,NA,7,C,17:48,7:14,6,6,0,0,0,0,0,0,0,0,N,<Null>,11,5,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,24,51,23
69,Point,"38.64281, -90.35817",-90.35817,38.64281,38.64281,-90.35817,5270,17.2,0.06,2,LJ_LT,8/9/2023,0.39,80,26.7,23,21.23,overcast,NA,10,C,18:06,7:13,15,14,0,0,0,0,0,0,0,1,Y,<Null>,4,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,24,30,22
70,Point,"38.62491, -90.38063",-90.38063,38.62491,38.62491,-90.38063,3810,9.2,0,2,LJ_LT,8/9/2023,0.39,80,26.7,23.5,20.98,overcast,NA,8,B,17:38,6:48,18,16,0,1,0,1,0,0,0,0,Y,<Null>,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,22,25,22
71,Point,"38.65207, -90.42964",-90.42964,38.65207,38.65207,-90.42964,3350,9.2,0,2,LJ_LT,8/9/2023,0.39,80,26.7,23.5,21.15,overcast,NA,7,D,18:37,7:30,7,5,0,2,0,0,0,0,0,0,Y,<Null>,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,49,22
72,Point,"38.64172, -90.39792",-90.39792,38.64172,38.64172,-90.39792,3680,16.8,0,2,LJ_LT,8/9/2023,0.39,80,26.7,25.5,21.13,overcast,NA,9,A,17:08,7:02,22,22,0,0,0,0,0,0,0,0,Y,<Null>,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,29,22
73,Point,"38.65606, -90.38944",-90.38944,38.65606,38.65606,-90.38944,3790,14.9,0.08,2,LJ_LT,8/10/2023,0.29,88,31.1,26.5,21.83,sunny,NA,10,C,18:18,7:25,1,1,0,0,0,0,0,0,0,0,Y,1 mosquito on shutter lid that I let go; uknown ID,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,60,23
74,Point,"38.67022, -90.36626",-90.36626,38.67022,38.67022,-90.36626,4690,20.3,0,2,LJ_LT,8/10/2023,0.29,88,31.1,28.5,21.73,sunny,NA,9,B,17:49,7:16,35,35,0,0,0,0,0,0,0,0,Y,<Null>,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,45,22
75,Point,"38.65368, -90.41469",-90.41469,38.65368,38.65368,-90.41469,3560,12.8,0,2,LJ_LT,8/10/2023,0.29,88,31.1,27.5,21.96,sunny,NA,8,D,18:41,7:45,18,18,0,0,0,0,0,0,0,0,Y,<Null>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,37,22
76,Point,"38.71068, -90.4186",-90.4186,38.71068,38.71068,-90.4186,4890,45.1,0.16,2,LJ_LT,8/10/2023,0.29,88,31.1,27.5,21.35,sunny,NA,7,A,17:13,7:02,74,73,0,1,0,0,0,0,0,0,Y,so many!,21,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,24,46,22
77,Point,"38.60357, -90.26492",-90.26492,38.60357,38.60357,-90.26492,7650,53.8,0,2,LJ_KW,8/14/2023,0.03,84,28.9,25.5,21.21,sunny_windy,NA,10,A,17:22,8:42,19,19,0,0,0,0,0,0,0,0,Y,<Null>,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,41,22
78,Point,"38.5972, -90.27284",-90.27284,38.5972,38.5972,-90.27284,7710,75.6,0.02,2,LJ_KW,8/14/2023,0.03,84,28.9,24,20.48,sunny_windy,NA,8,C,18:12,8:55,14,12,0,0,0,0,0,0,0,0,Y,"2 stripy legs and dark gray, couldn't ID further",18,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,24,77,23
79,Point,"38.59572, -90.2895",-90.2895,38.59572,38.59572,-90.2895,6920,63.5,1.36,2,LJ_KW,8/14/2023,0.03,84,28.9,23,20.67,sunny,NA,9,D,18:36,9:03,25,25,0,0,0,0,0,0,0,0,Y,<Null>,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,69,23
80,Point,"38.60209, -90.25852",-90.25852,38.60209,38.60209,-90.25852,7650,42.4,0.04,2,LJ_KW,8/14/2023,0.03,84,28.9,24.5,21.23,sunny,NA,7,B,17:45,8:33,54,53,0,0,0,0,1,0,0,0,Y,<Null>,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,56,23
81,Point,"38.61249, -90.25454",-90.25454,38.61249,38.61249,-90.25454,7940,38.2,0.92,2,LJ_LT,8/15/2023,0.01,78,25.6,24,19.38,overcast,NA,8,A,17:22,9:00,9,9,0,0,0,0,0,0,0,0,Y,"cold in morning, no activity when picking up trap",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,54,23
82,Point,"38.63979, -90.25516",-90.25516,38.63979,38.63979,-90.25516,10500,150.6,1.2,2,LJ_LT,8/15/2023,0.01,78,25.6,25.5,19.58,overcast,NA,10,D,18:33,8:36,10,10,0,0,0,0,0,0,0,0,Y,"mosquitoes flying about potato plants, not interseted in hostseeking; cold in morning, no activity when picking up trap",3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,60,23
83,Point,"38.61469, -90.24233",-90.24233,38.61469,38.61469,-90.24233,9240,67.2,0.06,2,LJ_LT,8/15/2023,0.01,78,25.6,23,18.96,overcast,NA,7,B,17:41,9:09,42,42,0,0,0,0,0,0,0,0,Y,"lost some while hostseeking trapping about 5; so many!; cold in morning, no activity when picking up trap",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,58,23
84,Point,"38.63945, -90.25653",-90.25653,38.63945,38.63945,-90.25653,10500,150.6,0.02,2,LJ_LT,8/15/2023,0.01,78,25.6,22.5,19.63,overcast,NA,9,C,18:09,8:43,95,95,0,0,0,0,0,0,0,0,Y,"so many!; saw non albos hostseeking but didn’t catch any; cold in morning, no activity when picking up trap",5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,39,22
85,Point,"38.6018, -90.25168",-90.25168,38.6018,38.6018,-90.25168,7810,32,0.06,2,LJ_TR,8/16/2023,0,84,28.9,25,21.26,sunny,NA,7,B,17:34,8:06,49,49,0,0,0,0,0,0,0,0,Y,"so many!; cold in morning, no activity when picking up trap",20,20,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,36,22
86,Point,"38.60329, -90.26452",-90.26452,38.60329,38.60329,-90.26452,7650,53.8,0.26,2,LJ_TR,8/16/2023,0,84,28.9,41.5,21.22,sunny,NA,8,A,17:10,7:56,41,41,0,0,0,0,0,0,0,0,Y,"so many!; cold in morning, no activity when picking up trap",4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,22,52,23
87,Point,"38.57172, -90.2428",-90.2428,38.57172,38.57172,-90.2428,6220,39.4,0.5,1,LJ_TR,8/16/2023,0,84,28.9,25.5,18.74,sunny,NA,9,D,18:29,NA,25,25,0,0,0,0,0,0,0,0,Y,<Null>,6,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,80,24
88,Point,"38.7532, -90.81357",-90.81357,38.7532,38.7532,-90.81357,1130,11.8,0,2,EU,8/17/2023,0.01,87,30.6,19.5,14.19,sunny,NA,8,D,20:14,8:30,4,3,1,0,0,0,0,0,0,0,Y,Not many,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,54,23
89,Point,"38.43289, -90.44601",-90.44601,38.43289,38.43289,-90.44601,1190,2.4,0.02,2,LJ_EU,8/17/2023,0.01,87,30.6,25,18.73,sunny,NA,9,B,17:34,10:06,36,36,0,0,0,0,0,0,0,0,Y,<Null>,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41
90,Point,"38.37769, -90.41465",-90.41465,38.37769,38.37769,-90.41465,1020,3.1,0,2,LJ_EU,8/17/2023,0.01,87,30.6,24,15.33,sunny,NA,10,C,18:12,10:28,0,0,0,0,0,0,0,0,0,0,N,almost no other bugs ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,57,23
91,Point,"38.5387, -90.53078",-90.53078,38.5387,38.5387,-90.53078,1700,1.7,0,2,LJ_EU,8/17/2023,0.01,87,30.6,39.5,15.46,sunny,NA,7,A,16:39,9:33,2,1,0,0,0,1,0,0,0,0,N,<Null>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43
92,Point,"38.52647, -90.56039",-90.56039,38.52647,38.52647,-90.56039,1120,1.3,0,2,LJ,8/18/2023,0.04,84,28.9,24.5,21,sunny,NA,10,A,18:50,7:47,2,2,0,0,0,0,0,0,0,0,N,So many so fast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
93,Point,"38.65192, -90.3011",-90.3011,38.65192,38.65192,-90.3011,7370,84,0.02,2,LJ_KW,8/21/2023,0.22,95,35,30.5,27.67,cloudy,NA,9,C,17:35,7:20,3,3,0,0,0,0,0,0,0,0,Y,<Null>,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,35,22
94,Point,"38.63951, -90.30644",-90.30644,38.63951,38.63951,-90.30644,7200,46.5,0.38,2,LJ_KW,8/21/2023,0.22,95,35,32.5,26.67,partial_cloud,NA,3,D,17:56,7:30,6,6,0,0,0,0,0,0,0,0,Y,<Null>,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,55,23
95,Point,"38.6509, -90.30732",-90.30732,38.6509,38.6509,-90.30732,7370,82.3,0,2,LJ_KW,8/21/2023,0.22,95,35,33.5,27.67,partial_cloud,NA,10,A,16:53,7:00,6,6,0,0,0,0,0,0,0,0,N,<Null>,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,37,22
96,Point,"38.65211, -90.30701",-90.30701,38.65211,38.65211,-90.30701,7370,82.3,0,2,LJ_KW,8/21/2023,0.22,95,35,35,28.06,cloudy,NA,8,B,17:11,7:10,43,42,0,1,0,0,0,0,0,0,Y,So many,31,30,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,36,22
97,Point,"38.65978, -90.33032",-90.33032,38.65978,38.65978,-90.33032,5870,23.8,0,2,LJ_TR,8/22/2023,0.31,100,37.8,30.5,26.88,cloudy,NA,3,C,18:00,7:30,31,31,0,0,0,0,0,0,0,0,Y,<Null>,44,40,35,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,22,53,23
98,Point,"38.66039, -90.33202",-90.33202,38.66039,38.66039,-90.33202,5870,23.8,0,2,LJ_TR,8/22/2023,0.31,100,37.8,33,29.17,cloudy,NA,10,D,18:22,7:35,9,9,0,0,0,0,0,0,0,0,Y,"Not sure if temp related (31C), but way less active",25,23,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,24,39,22
99,Point,"38.65652, -90.32025",-90.32025,38.65652,38.65652,-90.32025,6180,26,0,2,LJ_TR,8/22/2023,0.31,100,37.8,33,27.52,cloudy,NA,8,A,17:10,7:09,38,37,0,1,0,0,0,0,0,0,Y,So many; at least 15 active,45,39,24,15,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,24,35,22
100,Point,"38.65916, -90.31697",-90.31697,38.65916,38.65916,-90.31697,6180,27.7,0,2,LJ_TR,8/22/2023,0.31,100,37.8,32.5,26.46,cloudy,NA,9,B,17:39,7:20,5,4,0,1,0,0,0,0,0,0,Y,Lots seen but didn't catch,32,29,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,24,62,23
101,Point,"38.58447, -90.39409",-90.39409,38.58447,38.58447,-90.39409,3720,18.2,0,2,LJ_EU,8/23/2023,0.41,99,37.2,35,26.69,cloudy,NA,8,B,17:29,8:00,13,13,0,0,0,0,0,0,0,0,Y,"Could see swarms in sunlight last trip, essentially nothing this time",20,20,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,29,22
102,Point,"38.62262, -90.46147",-90.46147,38.62262,38.62262,-90.46147,3030,17,0,2,LJ_EU,8/23/2023,0.41,99,37.2,30,26.6,cloudy,NA,10,D,18:30,7:30,21,21,0,0,0,0,0,0,0,0,Y,<Null>,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,24,37,22
103,Point,"38.55025, -90.39806",-90.39806,38.55025,38.55025,-90.39806,3560,38.7,0,2,LJ_EU,8/23/2023,0.41,99,37.2,32,26.96,cloudy,NA,3,A,16:57,8:19,19,18,1,0,0,0,0,0,0,0,Y,<Null>,14,14,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,33,22
104,Point,"38.57916, -90.42449",-90.42449,38.57916,38.57916,-90.42449,3560,17.1,0.04,2,LJ_EU,8/23/2023,0.41,99,37.2,32.5,25.85,cloudy,NA,9,C,17:58,7:48,10,10,0,0,0,0,0,0,0,0,N,<Null>,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,48,22
105,Point,"38.61113, -90.27887",-90.27887,38.61113,38.61113,-90.27887,7570,56.1,2.8,2,LJ_KW,8/24/2023,0.51,101,38.3,34.5,27.92,sunny_hot_slightwind,NA,3,C,17:59,8:40,17,17,0,0,0,0,0,0,0,0,Y,<Null>,19,14,11,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,24,66,23
106,Point,"38.64851, -90.28146",-90.28146,38.64851,38.64851,-90.28146,8450,93.9,0.16,2,LJ_KW,8/24/2023,0.51,101,38.3,38.5,30.15,sunny_hot,NA,9,A,16:59,7:45,0,0,0,0,0,0,0,0,0,0,N,<Null>,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,24,93,24
107,Point,"38.65282, -90.31912",-90.31912,38.65282,38.65282,-90.31912,6500,36.1,0.04,2,LJ_KW,8/24/2023,0.51,101,38.3,35.5,28.9,sunny_hot,NA,8,B,17:26,8:05,11,11,0,0,0,0,0,0,0,0,Y,<Null>,24,24,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,44,22
108,Point,"38.64174, -90.25992",-90.25992,38.64174,38.64174,-90.25992,10300,151.1,1.14,2,LJ_KW,8/24/2023,0.51,101,38.3,31,28.02,sunny_hot,NA,10,D,18:29,8:25,4,3,0,1,0,0,0,0,0,0,Y,2 flying around trap,16,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,8,24,50,23
109,Point,"38.66461, -90.54289",-90.54289,38.66461,38.66461,-90.54289,2690,29.7,0.08,2,LJ_EU,8/28/2023,0.9,83,28.3,29,22.8,sunny,NA,8,A,17:38,7:26,18,18,0,0,0,0,0,1,0,0,Y,<Null>,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0,24,65,23
110,Point,"38.56617, -90.52694",-90.52694,38.56617,38.56617,-90.52694,2370,18.4,0,2,LJ_EU,8/28/2023,0.9,83,28.3,27.5,21.27,sunny,NA,10,B,18:15,7:51,33,33,0,0,0,0,0,0,0,0,Y,<Null>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,47,22
111,Point,"38.61176, -90.31839",-90.31839,38.61176,38.61176,-90.31839,6480,48.7,0.04,2,LJ_TR,8/29/2023,0.96,87,30.6,28.5,21.46,sunny,NA,8,A,17:04,7:05,22,22,0,0,0,0,0,0,0,0,Y,<Null>,16,11,9,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,24,57,23
112,Point,"38.60555, -90.3557",-90.3557,38.60555,38.60555,-90.3557,4910,33.6,0.08,2,LJ_TR,8/29/2023,0.96,87,30.6,29,21.98,sunny,NA,10,B,17:34,7:15,116,113,3,0,0,0,0,0,0,0,Y,<Null>,17,14,13,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,24,46,22
113,Point,"38.57976, -90.3864",-90.3864,38.57976,38.57976,-90.3864,3670,18.3,0.4,2,LJ_TR,8/29/2023,0.96,87,30.6,27.5,22.58,sunny,NA,9,C,18:08,7:32,36,36,0,0,0,0,0,0,0,0,Y,<Null>,10,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,16,21
114,Point,"38.65386, -90.19804",-90.19804,38.65386,38.65386,-90.19804,9980,58.3,0.96,2,LJ_TR,8/30/2023,0.99,82,27.8,21,17.69,sunny,NA,9,C,18:53,7:10,69,68,0,1,0,0,0,0,0,0,Y,<Null>,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,77,23
115,Point,"38.59508, -90.25113",-90.25113,38.59508,38.59508,-90.25113,7800,73.8,0.24,2,LJ_TR,8/30/2023,0.99,82,27.8,24.5,17.85,sunny,NA,10,A,17:10,7:30,21,19,0,2,0,0,0,0,0,0,Y,<Null>,13,4,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,22,65,23
116,Point,"38.57172, -90.2428",-90.2428,38.57172,38.57172,-90.2428,6220,39.4,0.5,2,LJ_TR,8/30/2023,0.99,82,27.8,25,15.73,sunny,NA,8,B,17:39,NA,4,4,0,0,0,0,0,0,0,0,Y,<Null>,6,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,24,80,24
